Neighborhood,SalePrice,LotArea,BedroomAbvGr,FullBath,OverallQual,YearBuilt
NoRidge,341000,10542,3,2,7,1993
CollgCr,128500,9920,3,1,5,1969
NAmes,124500,8120,3,1,4,1970
Edwards,135000,8172,4,2,4,1954
Edwards,320000,13286,3,2,9,2007
NAmes,120500,6960,3,1,4,1970
CollgCr,194500,7314,2,2,7,2007
NAmes,110000,11475,4,2,5,1958
IDOTRR,103000,6240,2,1,4,1925
StoneBr,236500,5389,2,2,8,1995
Timber,187500,9590,3,2,7,2003
CollgCr,222500,11404,3,2,7,1998
Sawyer,131400,10000,3,1,5,1961
OldTown,163000,10800,2,1,7,1914
Gilbert,239900,10463,3,2,8,2005
CollgCr,190000,9313,3,2,7,2004
OldTown,132000,9600,2,2,5,1910
Sawyer,142000,6768,3,1,6,1961
SawyerW,179000,8450,3,2,7,2000
Sawyer,175000,12886,3,2,5,1963
StoneBr,180000,5395,2,2,8,1993
OldTown,265979,11700,4,1,7,1880
NoRidge,260400,10593,3,2,7,1996
CollgCr,217000,9236,3,2,6,1997
NridgHt,275500,10240,3,2,8,2005
NAmes,156000,7930,3,1,6,1969
Somerst,172500,3230,3,2,6,1999
CollgCr,212000,10769,3,2,8,2007
Somerst,179400,2280,3,2,7,1999
NoRidge,290000,12257,4,2,8,1995
NAmes,127500,9100,2,1,6,1959
BrkSide,100000,6911,2,1,5,1924
Somerst,215200,8640,3,2,7,2009
NoRidge,337000,9430,3,2,8,1999
Veenker,270000,9549,2,1,8,1995
Somerst,264132,14587,2,2,9,2008
NWAmes,196500,10421,3,2,7,1988
Mitchel,160000,12508,4,2,6,1940
CollgCr,216837,9100,3,2,7,2004
StoneBr,538000,53504,4,3,8,2003
Edwards,102000,8877,2,1,4,1951
Edwards,107000,7819,3,1,6,1976
NAmes,114500,10150,2,1,5,1958
NridgHt,395000,14226,3,2,8,2006
Mitchel,162000,4500,2,2,6,1998
CollgCr,221500,11210,3,2,7,2005
Sawyer,142500,13350,3,1,5,1974
Mitchel,135000,10530,2,1,6,1977
Gilbert,176000,7875,3,2,7,1995
SawyerW,175900,7153,3,2,6,1992
CollgCr,187100,16285,3,2,7,2001
OldTown,139000,10800,4,2,5,1915
SawyerW,233000,10142,4,2,7,2004
OldTown,107900,6000,2,1,4,1954
Blmngtn,160200,3182,2,2,7,2005
NoRidge,269790,9920,3,2,7,1996
Somerst,225000,9158,3,2,8,2007
SawyerW,171000,8400,3,2,6,1980
Sawyer,143500,8197,3,1,6,1977
NAmes,110000,7677,2,1,5,1953
NridgHt,485000,13518,4,3,9,2008
SWISU,175000,7200,3,1,5,1937
ClearCr,200000,12798,4,2,6,1997
IDOTRR,109900,4800,2,1,4,1916
CollgCr,189000,8199,3,2,7,2005
NridgHt,582933,13891,4,3,9,2008
NAmes,118000,9000,2,1,5,1954
Somerst,227680,12274,3,2,7,2008
NAmes,135500,9750,3,2,5,1967
BrkSide,223500,21384,3,1,5,1923
NAmes,159950,13400,3,1,5,1966
OldTown,106000,8100,2,2,5,1898
NWAmes,181000,10140,3,1,6,1974
IDOTRR,55993,8712,2,1,5,1952
NAmes,157900,9750,4,1,6,1958
Edwards,116000,8248,3,1,5,1918
CollgCr,224900,12137,3,2,7,1998
ClearCr,155000,8816,3,1,6,1971
NridgHt,224000,6371,2,2,7,2009
CollgCr,183000,7226,3,2,7,2003
OldTown,93000,6000,2,1,4,1953
SWISU,139500,9900,3,2,6,1940
Somerst,232600,11216,3,2,8,2006
NridgHt,385000,14803,2,2,10,2007
SawyerW,189000,8529,3,2,7,2001
Somerst,147400,2544,2,2,7,2005
NAmes,166000,11900,3,1,6,1957
Somerst,151000,3180,2,2,7,2005
CollgCr,237000,9548,3,2,7,2003
NAmes,167000,10004,3,1,6,1964
NAmes,139950,7875,3,1,5,1961
Sawyer,128000,9600,2,2,4,1950
OldTown,153500,8100,2,1,5,1948
BrDale,100000,1680,2,1,6,1973
CollgCr,144000,9525,3,1,5,1995
Edwards,130500,11767,3,1,5,1946
OldTown,157500,10440,3,2,5,1904
NAmes,174900,9020,3,1,6,1966
OldTown,153900,12665,4,1,5,1915
SawyerW,213000,9317,3,2,7,1993
CollgCr,133500,15523,3,1,5,1972
ClearCr,240000,45600,5,3,6,1908
Veenker,187000,9600,3,2,6,1976
CollgCr,131500,4435,1,1,6,2003
Crawfor,164000,7128,4,2,7,1941
Sawyer,170000,17920,3,1,5,1955
Gilbert,174000,8125,3,2,6,1994
NWAmes,152000,10400,3,2,7,1976
Crawfor,189950,7642,3,1,7,1918
Sawyer,131500,11625,3,1,5,1965
SawyerW,152000,9672,3,2,6,1984
NAmes,132500,7931,3,1,5,1959
Somerst,250580,8640,3,2,7,2007
Timber,248900,10656,3,2,8,2006
Sawyer,129000,6970,3,1,4,1961
SawyerW,236000,9938,3,2,7,1993
NAmes,109500,6600,2,1,5,1962
CollgCr,200500,8750,3,2,6,1998
NAmes,116000,8892,3,1,5,1953
NAmes,133000,12144,3,1,5,1949
OldTown,66500,5720,3,1,5,1941
Somerst,303477,9000,4,2,8,2007
Mitchel,132250,25286,3,1,4,1963
NridgHt,350000,8834,4,2,9,2004
Sawyer,148000,11782,3,1,5,1961
Edwards,157000,7024,2,1,5,2005
Timber,187500,13758,3,2,7,1990
SWISU,118500,6204,5,1,4,1912
NAmes,100000,7150,3,1,5,1967
Somerst,328900,5119,2,2,9,1999
NAmes,145000,8393,4,2,5,1959
Edwards,135500,16466,3,1,5,1955
NAmes,268000,15865,4,2,8,1970
NAmes,149500,12160,2,1,6,1953
NAmes,122900,8064,3,1,5,1949
Sawyer,172500,11184,3,2,6,1978
Sawyer,154500,8414,3,1,6,1963
NAmes,140000,7056,4,1,6,1963
IDOTRR,106500,8765,2,1,4,1936
NridgHt,611657,12919,2,2,9,2009
Sawyer,135000,6993,3,1,5,1961
NAmes,153000,8712,2,1,5,1957
Gilbert,180000,7875,3,2,7,2003
Gilbert,240000,14859,3,2,7,2006
NAmes,128000,9920,3,1,5,1954
Somerst,255000,13501,3,2,8,2006
Crawfor,250000,11500,3,1,7,1936
Gilbert,174000,12589,3,2,6,2005
NAmes,154300,11600,5,2,5,1960
BrkSide,88000,6120,3,1,5,1925
Crawfor,145000,6270,4,2,5,1949
Somerst,173733,3000,2,2,6,2009
MeadowV,75000,2001,3,1,4,1970
IDOTRR,35311,9000,1,0,2,1949
SawyerW,238000,13125,4,2,7,1991
NAmes,176500,11029,3,1,6,1958
SawyerW,201000,8462,3,2,6,1994
Gilbert,169990,10237,3,2,6,2005
SawyerW,193000,8012,2,2,6,1993
NWAmes,207500,10240,3,2,6,1980
NridgHt,285000,11999,4,2,8,2003
Timber,201000,8925,3,2,8,2007
NAmes,117500,9100,2,1,5,1965
Somerst,320000,11670,3,2,9,2006
CollgCr,190000,8487,3,2,7,2004
NAmes,242000,27650,4,2,7,1960
BrkSide,79900,5825,1,1,4,1926
Somerst,253000,9675,3,2,7,2005
CollgCr,239799,8760,3,2,7,2006
Mitchel,150900,12640,4,2,6,1976
Mitchel,143000,25000,4,2,5,1967
OldTown,124900,8820,2,1,5,1890
NAmes,143000,8163,3,1,5,1959
Timber,270000,14536,3,2,8,2002
NWAmes,197500,9360,3,1,6,1972
NAmes,129000,7200,3,1,5,1950
SawyerW,119900,7800,3,1,5,1965
CollgCr,133900,7200,2,1,5,1972
Crawfor,145000,7136,4,2,6,1946
Blueste,124000,1300,2,1,6,1980
Sawyer,132000,7420,3,1,5,1962
CollgCr,185000,8450,3,2,7,2003
Somerst,155000,2572,3,2,7,1999
NPkVill,155000,2308,3,2,6,1976
CollgCr,239000,11923,2,2,9,2007
Timber,214900,11316,4,2,7,2002
Gilbert,178900,10237,3,2,6,2005
Crawfor,160000,9600,2,1,5,1940
NAmes,140000,10382,2,1,6,1958
NridgHt,173000,2268,2,2,7,2003
SawyerW,99500,7892,2,2,6,1979
BrkSide,167500,11414,3,1,7,1910
Edwards,110000,9450,3,1,4,1954
Sawyer,139000,8816,3,1,5,1963
NoRidge,336000,12203,4,2,8,1998
Blmngtn,159895,3182,2,2,7,2007
Edwards,125000,10880,3,1,5,1950
OldTown,117000,5310,2,1,6,1910
NridgHt,395192,10159,3,2,9,2009
Somerst,197000,8125,3,2,7,2006
NoRidge,348000,9452,3,2,8,1997
OldTown,168000,17671,4,1,8,1882
NAmes,187000,9760,3,2,6,1964
CollgCr,173900,8846,3,2,6,2005
NridgHt,337500,12456,3,2,10,2006
BrkSide,121600,4712,3,1,4,1946
IDOTRR,91000,9786,3,1,3,1922
CollgCr,206000,6762,2,2,7,2006
OldTown,86000,5400,2,1,5,1920
Somerst,232000,11957,3,2,8,2006
Blmngtn,181000,3182,1,2,7,2005
CollgCr,149900,8385,3,2,5,1977
MeadowV,88000,2217,3,1,4,1970
Mitchel,240000,12118,3,2,7,2004
Sawyer,135000,21286,4,2,5,1948
Crawfor,165000,10592,3,1,6,1923
OldTown,85000,7200,2,1,5,1910
NAmes,119200,11664,2,1,6,1948
NWAmes,227000,8400,3,2,8,2001
CollgCr,203000,11883,3,2,7,1996
Blmngtn,213490,3013,2,2,7,2005
Edwards,176000,7024,2,1,4,2005
CollgCr,194000,7406,2,2,7,2006
OldTown,87000,9439,2,1,5,1930
Blmngtn,191000,3182,2,2,7,2005
CollgCr,112500,7700,3,1,5,1972
NAmes,167500,9300,3,1,5,1960
Timber,293077,9520,3,2,8,2007
NAmes,105000,9492,3,1,5,1941
BrDale,118000,1680,3,1,6,1972
SWISU,197000,15863,5,2,7,1920
Crawfor,119750,6305,2,1,5,1938
Timber,315500,12898,2,2,9,2007
MeadowV,80000,1477,1,1,4,1970
Sawyer,155000,13125,3,2,5,1957
NridgHt,196000,5381,1,2,6,2005
SawyerW,262280,11839,4,2,7,1990
NWAmes,278000,9600,4,2,8,1981
StoneBr,556581,16056,4,3,9,2005
CollgCr,145000,9245,3,1,5,1994
Gilbert,176485,8993,3,2,7,2007
CollgCr,200141,11175,3,2,7,2007
NAmes,165000,9500,4,1,6,1964
Edwards,144500,8562,4,1,5,1957
CollgCr,255000,11367,3,2,8,2002
NWAmes,180000,11361,3,2,6,1976
NridgHt,185850,7052,2,2,7,2005
NridgHt,335000,11308,3,2,9,2008
StoneBr,213500,4920,2,2,8,2001
IDOTRR,81000,18000,2,1,3,1935
OldTown,90000,13600,5,2,5,1900
OldTown,110500,6000,2,1,6,1925
ClearCr,328000,14000,3,2,7,1996
Gilbert,178000,7837,3,2,6,1993
NAmes,167900,9760,4,1,6,1964
MeadowV,151400,3964,5,2,6,1973
NAmes,135000,9600,2,1,5,1949
NAmes,135000,10152,3,1,5,1956
NWAmes,154000,11700,4,1,6,1968
Edwards,91500,7585,4,1,5,1948
Edwards,159500,7950,3,1,6,1977
CollgCr,194000,8556,2,2,7,2006
Crawfor,219500,13125,3,1,7,1940
OldTown,170000,10800,3,2,5,1936
CollgCr,155900,4435,1,1,6,2004
CollgCr,126000,8775,3,1,5,1994
NWAmes,145000,11040,3,2,6,1971
Sawyer,133000,7500,3,1,5,1963
CollgCr,192000,8749,3,2,7,2002
NAmes,160000,8800,3,1,6,1964
SawyerW,147000,9069,2,1,6,1992
Somerst,252000,10574,3,2,8,2005
Edwards,137500,2522,3,2,7,2004
Somerst,197000,3316,1,1,8,2005
Somerst,160000,2160,2,2,7,1999
SWISU,136500,8400,4,2,6,1925
NAmes,146000,9230,1,1,5,1965
NAmes,129000,5868,2,1,5,1956
CollgCr,176432,9317,3,2,6,2006
BrkSide,128000,6000,3,1,4,1936
NWAmes,157000,11880,3,2,7,1978
SWISU,60000,8400,1,1,2,1920
NAmes,119500,9758,3,1,5,1971
NAmes,135000,7000,2,1,5,1960
NAmes,159500,8910,3,1,6,1959
BrDale,106000,2016,3,2,5,1970
NoRidge,325000,12256,3,2,8,1994
SawyerW,179900,10357,3,2,7,1990
Gilbert,274725,23257,3,2,7,2006
NridgHt,280000,11362,3,2,8,2004
NWAmes,205000,10480,4,2,7,1976
NAmes,129900,7100,2,1,5,1957
NAmes,134500,8923,2,1,5,1953
OldTown,117000,5400,2,1,5,1954
NridgHt,318000,12085,3,2,8,2007
Sawyer,130000,9764,3,1,5,1967
Sawyer,140000,13825,3,1,5,1958
NAmes,133700,7560,3,1,5,1959
IDOTRR,118400,8263,2,1,6,1920
CollgCr,212900,10084,3,2,7,2005
NAmes,115000,10434,2,1,4,1955
Blmngtn,174000,3684,2,2,7,2007
Gilbert,259000,14572,3,2,7,2004
Gilbert,215000,11796,4,2,7,2004
OldTown,140000,7200,2,1,5,1980
SWISU,135000,7804,4,2,4,1928
OldTown,117500,9900,5,2,6,1880
SawyerW,239500,9828,3,2,8,1995
Gilbert,169000,8773,3,2,6,1997
BrkSide,102000,6180,2,1,6,1926
NAmes,119000,9600,3,1,6,1950
BrkSide,144000,8731,3,1,5,1920
NAmes,139000,7350,2,1,5,1951
CollgCr,424870,9965,4,3,8,2006
Edwards,80000,12180,2,1,4,1941
BrkSide,149000,6240,3,1,5,1928
Crawfor,174500,12000,3,1,7,1941
OldTown,143000,9000,3,1,7,1920
NAmes,124000,8280,2,1,6,1950
Edwards,149900,17755,3,1,5,1959
Crawfor,230000,14115,2,1,6,1956
Veenker,218000,10768,3,2,5,1976
NAmes,179900,9350,3,2,5,1965
NridgHt,230000,5001,2,2,7,2007
Somerst,235128,11932,3,2,8,2007
NWAmes,185000,9120,4,2,6,1974
NPkVill,146000,2280,3,2,6,1978
Sawyer,129000,8724,3,1,5,1968
Sawyer,108959,12900,0,0,4,1969
NridgHt,233170,9541,3,2,7,2009
CollgCr,245350,10475,3,2,8,2008
Gilbert,173000,10852,3,2,6,2000
Edwards,235000,13728,4,2,6,1935
NoRidge,625000,35760,4,3,10,1995
Mitchel,171000,9880,3,1,6,1977
NAmes,163000,9120,3,1,6,1958
Somerst,171900,4017,2,2,7,2006
Crawfor,239000,16560,4,2,6,1932
NoRidge,285000,10678,4,2,8,1992
Mitchel,119500,6951,3,1,5,1984
Crawfor,154900,7681,3,1,5,1921
Crawfor,392500,5587,2,2,8,2008
NoRidge,745000,15623,4,3,10,1996
OldTown,120000,10800,2,1,5,1920
Timber,186700,35133,3,1,5,1963
Edwards,104900,9738,4,1,5,1924
OldTown,95000,10615,3,2,3,1900
NoRidge,262000,12461,2,2,8,1994
CollgCr,195000,8935,3,2,7,2002
Gilbert,189000,7500,3,2,7,1999
Somerst,174000,2645,2,2,8,1999
OldTown,125000,9600,3,1,5,1925
Sawyer,158000,9364,4,1,6,1969
Gilbert,176000,8029,3,2,6,2005
Gilbert,219210,14054,4,2,7,2006
OldTown,144000,8850,3,1,7,1916
CollgCr,178000,9100,3,2,7,2001
Sawyer,148000,11235,3,1,4,1963
NAmes,116050,9353,3,1,4,1970
CollgCr,197900,10400,3,2,7,1998
BrkSide,117000,6000,3,1,5,1925
CollgCr,213000,9750,3,2,7,2000
NWAmes,153500,10140,3,1,5,1975
SawyerW,271900,14684,3,2,7,1990
CollgCr,200000,9135,3,2,6,2003
NAmes,140000,7763,3,1,5,1962
Somerst,290000,10182,3,2,8,2006
SawyerW,189000,11218,3,2,6,1992
Gilbert,164000,12134,4,2,8,1988
Edwards,113000,9340,2,1,4,1941
NAmes,134500,10205,3,1,5,1962
Sawyer,125000,7094,3,1,5,1966
Somerst,229456,8640,3,2,8,2009
NAmes,115000,7800,2,1,5,1964
Sawyer,134000,8250,3,1,5,1968
NAmes,143000,10496,3,2,6,1949
NAmes,137900,10680,4,2,5,1951
Gilbert,184000,15384,3,2,7,2004
NAmes,145000,10482,3,1,6,1958
Somerst,214000,14598,4,2,6,2007
NAmes,147000,8872,2,1,5,1965
NridgHt,367294,8769,1,1,9,2008
NAmes,127000,7910,4,2,5,1960
NAmes,132500,7728,3,1,5,1962
Crawfor,138887,13132,4,1,5,1914
NridgHt,175500,2628,2,2,7,2003
CollgCr,195000,12393,4,2,7,2004
SawyerW,142500,13072,3,1,6,2005
Timber,265900,9037,2,2,8,2006
CollgCr,224900,8158,3,2,7,2003
Somerst,248328,9849,3,2,7,2007
NWAmes,170000,10625,3,2,7,1974
NWAmes,178000,12090,3,3,6,1984
Somerst,186500,8125,3,2,7,2005
OldTown,129500,9600,3,1,6,1917
NAmes,119000,7200,3,1,5,1950
NAmes,244000,11160,3,2,7,1968
Mitchel,130000,9858,3,1,5,1968
Edwards,165400,6931,3,2,7,2003
BrkSide,127500,6240,3,1,6,1931
NoRidge,301500,14303,2,2,8,1994
Gilbert,190000,9587,2,2,7,2005
NAmes,151000,9750,3,1,6,1969
NAmes,128900,9600,2,1,5,1956
BrkSide,180500,13515,3,1,6,1919
NAmes,181000,4060,2,2,6,1998
Somerst,183900,3735,3,2,7,1999
OldTown,122000,10120,4,1,7,1910
Timber,378500,13214,3,2,9,2008
NAmes,144000,11344,3,1,5,1958
Edwards,177000,11512,2,1,6,1959
Crawfor,139000,5362,3,2,5,1910
NAmes,137000,11345,4,2,5,1948
IDOTRR,68400,7500,2,1,4,1920
CollgCr,227000,9808,3,2,7,2002
Timber,180000,8049,2,2,7,1990
CollgCr,150500,8800,3,2,5,1977
SWISU,169000,9638,4,2,6,1919
BrkSide,132500,6000,4,1,6,1939
StoneBr,278000,5664,2,2,8,2000
NridgHt,281000,11065,3,2,8,2006
BrDale,119500,1680,3,2,5,1972
OldTown,107500,6600,4,2,5,1892
NWAmes,162900,10140,4,2,7,1976
Edwards,115000,8172,2,1,5,1955
NAmes,138500,8400,3,1,5,1968
NAmes,155000,8700,3,2,5,1963
Edwards,140000,3675,2,2,6,2005
Edwards,160000,63887,3,2,10,2008
NAmes,154000,7500,3,1,5,1959
NoRidge,290000,10120,4,2,8,1994
Somerst,232000,8688,3,2,7,2005
Edwards,130000,3363,3,2,7,2004
NridgHt,325000,13173,2,2,9,2006
NridgHt,202500,6955,2,2,7,2005
CollgCr,138000,8072,3,1,5,1994
OldTown,147000,12000,2,1,5,1948
Crawfor,335000,17500,3,2,7,1959
CollgCr,203000,8814,3,2,7,2005
NoRidge,333168,14774,4,2,9,1999
Edwards,119000,8190,3,1,4,1954
NAmes,206900,11075,4,2,6,1969
CollgCr,295493,10226,3,2,8,2008
Somerst,208900,4230,2,2,7,2006
Edwards,111000,10215,3,1,4,1954
NAmes,156500,8400,3,1,6,1957
NoRidge,190000,10186,3,2,7,1992
Somerst,147000,9986,2,2,8,2006
Mitchel,130500,6600,3,1,5,1982
OldTown,256000,10440,5,2,6,1920
Gilbert,176500,9084,3,2,7,1998
Somerst,227000,10000,3,2,8,2006
CollgCr,132500,10780,3,1,5,1976
Edwards,100000,8877,2,1,4,1938
IDOTRR,125500,7200,2,1,5,1938
BrDale,125000,2368,3,1,5,1970
NWAmes,167900,9650,2,2,6,1977
NWAmes,135000,9246,4,2,5,1973
CollgCr,200000,13450,3,2,7,2002
CollgCr,128500,9560,3,1,5,1972
NAmes,123000,8294,3,1,4,1971
SawyerW,155000,13695,3,1,6,2003
Crawfor,177000,7558,3,1,6,1928
CollgCr,155835,11103,3,2,7,2006
OldTown,108500,6000,2,1,4,1920
Timber,283463,15306,3,2,8,2006
NAmes,200000,11643,6,2,5,1969
NAmes,171000,9247,4,1,6,1962
BrkSide,134900,6000,2,1,6,1937
NoRidge,410000,14720,4,2,8,1995
NWAmes,170000,10192,4,3,7,1968
NridgHt,315000,16737,3,2,9,2004
SWISU,189000,9842,4,3,5,1921
StoneBr,260000,16158,3,2,7,2005
Gilbert,156932,8499,3,2,6,2006
Somerst,144152,3180,2,2,7,2005
CollgCr,193000,9179,3,2,7,1999
MeadowV,127000,2665,4,2,5,1977
CollgCr,232000,10635,3,2,8,2003
OldTown,105000,5400,2,1,4,1920
NAmes,165500,9600,3,1,6,1955
CollgCr,274300,9750,3,2,7,1998
Somerst,250000,10625,3,2,7,2005
Timber,239000,10991,3,2,8,2007
SWISU,91000,6292,2,1,6,1930
Edwards,117000,10998,3,2,5,1941
BrDale,83000,1953,2,1,6,1973
Edwards,58500,8212,2,1,3,1914
OldTown,157000,7200,4,1,7,1920
Edwards,105000,9060,2,1,6,1939
IDOTRR,125500,5436,3,1,4,1922
NWAmes,250000,16692,5,3,7,1978
OldTown,136000,8520,5,2,6,1916
Gilbert,377500,14892,3,2,9,2006
BrkSide,131000,6000,3,1,6,1941
CollgCr,235000,9100,3,2,7,2000
NAmes,124000,8944,4,2,5,1967
NAmes,123000,7838,3,1,5,1967
OldTown,163000,10800,3,2,6,1905
Blmngtn,246578,4045,2,2,7,2006
Timber,281213,12665,4,2,8,2005
BrkSide,137500,6120,4,1,5,1920
NAmes,138000,7200,3,1,5,1950
SWISU,137450,6171,3,2,6,1925
BrkSide,120000,6000,3,1,6,1929
Gilbert,193000,7415,3,2,6,2004
CollgCr,193879,6762,2,2,7,2006
Somerst,282922,15256,3,2,8,2007
OldTown,105000,10410,3,1,3,1915
Crawfor,275000,3842,2,2,8,2004
CollgCr,133000,8445,2,1,5,1972
OldTown,125500,7740,3,1,4,1910
NWAmes,215000,20544,3,2,7,1986
CollgCr,230000,12420,3,2,7,2001
NAmes,140000,9600,3,1,6,1950
SawyerW,257000,10994,2,2,8,2005
BrkSide,207000,13053,4,1,6,1923
Blmngtn,175900,3635,1,2,7,2007
OldTown,122500,11340,4,2,4,1885
NAmes,124000,9204,3,1,5,1963
NWAmes,179900,11700,3,2,6,1968
NPkVill,127500,4043,2,2,6,1977
CollgCr,136500,4435,1,1,6,2003
NAmes,142000,10721,3,1,6,1959
NoRidge,271000,10944,3,2,7,1994
NAmes,140000,10930,3,1,5,1945
OldTown,119000,7200,2,1,5,1940
Gilbert,192140,21930,4,2,5,2005
OldTown,64500,10800,4,2,4,1927
Gilbert,186500,10261,3,2,6,2000
Mitchel,160000,17400,3,2,5,1977
NAmes,174000,8400,3,1,6,1962
NAmes,120500,9000,3,1,4,1971
NridgHt,394617,12444,2,2,8,2008
OldTown,149700,7407,2,1,6,1957
NWAmes,197000,11584,3,2,7,1979
Crawfor,191000,11526,3,2,6,1922
Somerst,310000,11003,3,2,10,2008
CollgCr,179600,8500,3,2,7,2004
Sawyer,129000,8400,3,1,6,1966
CollgCr,240000,10000,3,2,8,1995
Edwards,112000,11767,2,1,4,1910
Somerst,287090,9262,3,2,8,2008
Edwards,145000,3675,2,1,5,2005
Somerst,185000,7500,2,2,7,2004
Gilbert,175000,7917,3,2,6,1999
NWAmes,210000,13175,3,2,6,1978
Crawfor,266500,9042,4,2,7,1941
NAmes,142125,9717,2,1,5,1950
Edwards,147500,9937,3,1,5,1965
